,rewards,discount,learning rate
320,-120.66185800207016,0.995,0.15
321,-53.53719133218041,0.995,0.15
322,-103.06433813967276,0.995,0.15
323,-460.11725706134746,0.995,0.15
324,-202.9798465443233,0.995,0.15
325,-139.37875445650513,0.995,0.15
326,-135.20106145486182,0.995,0.15
327,-252.68234519255887,0.995,0.15
328,-138.64863414768337,0.995,0.15
329,-426.5651158226658,0.995,0.15
330,-83.0191624568316,0.995,0.15
331,-590.9694085127501,0.995,0.15
332,-309.1099998630597,0.995,0.15
333,-144.44594309667326,0.995,0.15
334,-101.90144256228537,0.995,0.15
335,-288.7859352380692,0.995,0.15
336,-316.68822650886887,0.995,0.15
337,-294.00964490850544,0.995,0.15
338,-110.57225333610752,0.995,0.15
339,-355.1870632678356,0.995,0.15
340,-158.28732901734872,0.995,0.15
341,-171.53511079130763,0.995,0.15
342,-106.49110099089873,0.995,0.15
343,-165.90320587453897,0.995,0.15
344,-205.67988745402823,0.995,0.15
345,-217.95962409979802,0.995,0.15
346,-414.42608767224186,0.995,0.15
347,-332.3940496698242,0.995,0.15
348,-233.91659446793926,0.995,0.15
349,-63.34186226210447,0.995,0.15
350,-163.85741597417774,0.995,0.15
351,-130.95099527823078,0.995,0.15
352,-335.17886801211773,0.995,0.15
353,-444.27398729190935,0.995,0.15
354,-127.5378628749814,0.995,0.15
355,-111.84275042127476,0.995,0.15
356,-149.5643203352239,0.995,0.15
357,-110.8577111064648,0.995,0.15
358,-117.25043726534919,0.995,0.15
359,-185.02204900858226,0.995,0.15
360,-107.16317571462152,0.995,0.15
361,-119.98104363828769,0.995,0.15
362,-94.9129162043469,0.995,0.15
363,-217.32431685821575,0.995,0.15
364,-86.85123029698354,0.995,0.15
365,-242.6295171413234,0.995,0.15
366,-92.17450268714131,0.995,0.15
367,-100.98156490849463,0.995,0.15
368,-114.7371003966529,0.995,0.15
369,-127.2062538047616,0.995,0.15
370,-395.41812463380035,0.995,0.15
371,-188.52141184820982,0.995,0.15
372,-174.27616631754995,0.995,0.15
373,-209.44145776781988,0.995,0.15
374,-355.15024051518617,0.995,0.15
375,-105.41572143988685,0.995,0.15
376,-149.02642996551396,0.995,0.15
377,-307.1273234196649,0.995,0.15
378,-116.98958760317615,0.995,0.15
379,-177.98550994472248,0.995,0.15
380,-179.77436605669095,0.995,0.15
381,-67.1006747998731,0.995,0.15
382,-81.28335001838775,0.995,0.15
383,-114.34313380955354,0.995,0.15
384,-103.85394742186959,0.995,0.15
385,-81.81786081204591,0.995,0.15
386,-368.70084015155527,0.995,0.15
387,-86.76889962331165,0.995,0.15
388,-64.15466289629495,0.995,0.15
389,-310.5626776578067,0.995,0.15
390,-43.413244140390475,0.995,0.15
391,-426.75222485281864,0.995,0.15
392,-193.55719174447037,0.995,0.15
393,-87.227933528078,0.995,0.15
394,-72.69702653685093,0.995,0.15
395,-162.20025948257725,0.995,0.15
396,-116.764277326952,0.995,0.15
397,-370.4208429203169,0.995,0.15
398,-223.13909763476943,0.995,0.15
399,-82.78026395070151,0.995,0.15
400,-147.06330225305425,0.995,0.15
401,-306.7112424517377,0.995,0.15
402,-112.10785901705422,0.995,0.15
403,-256.7639062070407,0.995,0.15
404,-277.0302547870132,0.995,0.15
405,-252.5243883977735,0.995,0.15
406,-264.807058627415,0.995,0.15
407,-103.52003885558841,0.995,0.15
408,-75.85556309584496,0.995,0.15
409,-56.54846039419746,0.995,0.15
410,-507.95243203751363,0.995,0.15
411,-168.77301023665422,0.995,0.15
412,-145.81706651566125,0.995,0.15
413,-288.6180120516474,0.995,0.15
414,-154.06740800463876,0.995,0.15
415,-175.7617421491355,0.995,0.15
416,-88.45823847185578,0.995,0.15
417,-122.6722492920745,0.995,0.15
418,-112.4617059774367,0.995,0.15
419,-127.84656551726523,0.995,0.15
420,-79.25237400069821,0.995,0.15
421,-101.26261149563973,0.995,0.15
422,-111.6531581613651,0.995,0.15
423,-432.7753631230001,0.995,0.15
424,-134.75964007145075,0.995,0.15
425,-133.07146952369078,0.995,0.15
426,-134.97159588508032,0.995,0.15
427,-412.8154733907614,0.995,0.15
428,-167.75506666613217,0.995,0.15
429,-82.18013705202755,0.995,0.15
430,-148.90572274097303,0.995,0.15
431,-92.98444876308726,0.995,0.15
432,-132.088748516149,0.995,0.15
433,-136.5606844271668,0.995,0.15
434,-74.74731102563875,0.995,0.15
435,-109.10656267244345,0.995,0.15
436,-243.57402093606055,0.995,0.15
437,-117.48194411717813,0.995,0.15
438,-229.46595483951097,0.995,0.15
439,-72.39565709526074,0.995,0.15
440,-132.38612594717307,0.995,0.15
441,-121.01877636013405,0.995,0.15
442,-151.15984449917818,0.995,0.15
443,-102.60615355592644,0.995,0.15
444,-259.8025645524759,0.995,0.15
445,-272.70113483049386,0.995,0.15
446,-58.90158055939464,0.995,0.15
447,-131.8803754964968,0.995,0.15
448,-230.57966973533306,0.995,0.15
449,-375.36840502621675,0.995,0.15
450,-284.27944671334683,0.995,0.15
451,-347.1064202616611,0.995,0.15
452,-190.06367048068222,0.995,0.15
453,-131.9036765708772,0.995,0.15
454,-213.97373463951124,0.995,0.15
455,-152.53754411387177,0.995,0.15
456,-97.71885598353174,0.995,0.15
457,-105.76801892634806,0.995,0.15
458,-192.48997237574474,0.995,0.15
459,-96.599037805461,0.995,0.15
460,-287.0138130170567,0.995,0.15
461,-165.6622632749919,0.995,0.15
462,-78.16933731466644,0.995,0.15
463,-97.83196164926643,0.995,0.15
464,-339.6280282639816,0.995,0.15
465,-103.232880552768,0.995,0.15
466,-218.47530199038155,0.995,0.15
467,-230.83944686194033,0.995,0.15
